id,model_year,make,model,body_style,segment,fuel_type,city_mpg,highway_mpg,horsepower,engine_cylinders,engine_displacement_L,curb_weight_lbs,msrp_usd,transmission,drive_type,country_of_origin,safety_rating,reliability_score,highway_to_city_ratio
1,2023,Honda,Civic,Sedan,Compact,Gasoline,30.0,36.0,167,4,1.5,3085,31281,Automatic,FWD,Japan,4,7.2,1.2
2,2013,Audi,e-tron,SUV,Compact Luxury SUV,Gasoline,23.0,29.0,279,4,1.6,4397,53152,Manual,FWD,Germany,3,6.2,1.261
3,2011,Jeep,Grand Cherokee,SUV,Midsize SUV,Gasoline,20.0,26.0,203,6,2.9,3576,40004,Automatic,FWD,USA,5,7.4,1.3
4,2002,Nissan,Frontier,Truck,Midsize Truck,Gasoline,19.0,26.0,244,6,3.0,4650,35631,Automatic,AWD,Japan,5,8.7,1.368
5,2023,Mercedes-Benz,G-Class,SUV,Full-size Luxury SUV,Gasoline,18.0,25.0,448,8,4.3,5637,137132,Automatic,4WD,Germany,5,8.0,1.389
6,2018,Chevrolet,Traverse,SUV,Midsize SUV,Gasoline,21.0,26.0,217,6,3.0,3933,53254,Automatic,RWD,USA,5,8.1,1.238
7,2007,Jeep,Gladiator,Truck,Midsize Truck,Gasoline,19.0,22.0,262,6,3.1,4716,37443,Automatic,RWD,USA,5,10.0,1.158
8,2021,Toyota,Corolla,Sedan,Compact,Hybrid,43.0,58.0,146,4,1.6,3240,31725,Automatic,AWD,Japan,5,7.6,1.349
9,2020,Lexus,ES,Sedan,Midsize,Gasoline,29.0,35.0,175,4,1.6,3416,42444,Manual,FWD,Japan,5,6.8,1.207
10,2007,Volkswagen,Golf,Hatchback,Compact,Gasoline,28.0,34.0,141,4,1.6,3066,28525,Automatic,FWD,Germany,4,4.8,1.214
11,2005,Dodge,Caliber,Hatchback,Compact,Gasoline,25.0,34.0,142,4,1.5,3402,25706,Automatic,RWD,USA,5,6.6,1.36
12,2003,Lexus,LX,SUV,Midsize SUV,Gasoline,20.0,24.0,207,4,1.6,4326,43377,Automatic,AWD,Japan,5,7.4,1.2
13,2016,Subaru,Forester,SUV,Midsize SUV,Gasoline,23.0,30.0,250,6,2.8,4031,44900,Automatic,RWD,Japan,4,8.8,1.304
14,2014,Ram,ProMaster,Van,Compact,Gasoline,30.0,36.0,135,4,1.7,2863,29819,Automatic,FWD,USA,4,8.4,1.2
15,2013,GMC,Acadia,SUV,Midsize SUV,Gasoline,23.0,31.0,241,4,1.7,3727,40649,Manual,AWD,USA,5,10.0,1.348
16,2015,Mercedes-Benz,GLA,SUV,Subcompact Luxury SUV,Gasoline,23.0,28.0,201,6,3.1,3540,51065,Automatic,FWD,Germany,4,7.5,1.217
17,2004,Mazda,CX-3,SUV,Midsize SUV,Gasoline,20.0,26.0,272,4,1.6,3779,36052,Automatic,4WD,Japan,3,4.6,1.3
18,2002,Chevrolet,Camaro,Coupe,Sports,Gasoline,20.0,27.0,271,4,1.6,3670,32610,Automatic,AWD,USA,5,7.3,1.35
19,2021,Hyundai,Santa Fe,SUV,Midsize SUV,Hybrid,35.0,46.0,250,4,1.7,4046,44113,Automatic,AWD,South Korea,3,7.8,1.314
20,2007,Volkswagen,Tiguan,SUV,Midsize SUV,Gasoline,24.0,30.0,200,6,2.8,4194,45189,Automatic,FWD,Germany,5,4.6,1.25
21,2008,Honda,CR-V,SUV,Compact SUV,Gasoline,28.0,34.0,142,4,1.7,3372,31923,Automatic,FWD,Japan,5,7.5,1.214
22,2020,Ford,Mustang,Coupe,Sports,Hybrid,36.0,49.0,337,6,2.9,3449,50157,Automatic,RWD,USA,5,6.6,1.361
23,2022,Honda,Accord,Sedan,Midsize,Gasoline,24.0,31.0,185,4,1.6,3562,36215,Manual,FWD,Japan,5,7.8,1.292
24,2024,Honda,Odyssey,Minivan,Minivan,Hybrid,33.0,45.0,178,4,1.7,4554,51135,Manual,FWD,Japan,5,10.0,1.364
25,2023,Toyota,RAV4,SUV,Compact SUV,Hybrid,39.0,52.0,151,4,1.5,3385,36187,Automatic,RWD,Japan,5,8.2,1.333
26,2009,GMC,Envoy,SUV,Midsize SUV,Gasoline,21.0,26.0,213,6,3.2,3929,41565,Automatic,RWD,USA,5,4.6,1.238
27,2000,Mazda,CX-30,SUV,Midsize SUV,Gasoline,23.0,30.0,209,6,3.0,4155,37380,Automatic,RWD,Japan,5,6.0,1.304
28,2008,Volvo,V60,Wagon,Compact,Gasoline,28.0,37.0,194,4,1.4,3104,27167,Automatic,RWD,Sweden,4,6.9,1.321
29,2010,Subaru,Tribeca,SUV,Midsize SUV,Gasoline,22.0,27.0,208,6,3.1,3929,45724,Automatic,RWD,Japan,5,9.2,1.227
30,2017,Kia,Carnival,Minivan,Compact,Gasoline,28.0,35.0,162,4,1.5,3440,27956,Automatic,AWD,South Korea,4,6.7,1.25
31,2009,Mercedes-Benz,E-Class,Sedan,Midsize Luxury,Diesel,25.0,30.0,305,8,4.4,4139,62366,Automatic,AWD,Germany,3,9.6,1.2
32,2013,Chevrolet,Blazer,SUV,Midsize SUV,Gasoline,23.0,30.0,222,6,3.0,3907,40036,Automatic,AWD,USA,5,9.7,1.304
33,2022,Nissan,Sentra,Sedan,Midsize,Gasoline,25.0,34.0,201,6,3.0,3577,40229,Manual,AWD,Japan,4,7.6,1.36
34,2017,Lexus,UX,SUV,Midsize SUV,Gasoline,21.0,28.0,227,6,3.0,3873,45934,Automatic,RWD,Japan,5,4.6,1.333
35,2002,Hyundai,Ioniq,Hatchback,Compact,Hybrid,42.0,57.0,164,4,1.6,3200,22544,Automatic,FWD,South Korea,3,5.9,1.357
36,2006,Ram,1500,Truck,Midsize Truck,Gasoline,21.0,26.0,268,4,1.7,4020,34674,Automatic,FWD,USA,4,5.5,1.238
37,2017,Jeep,Grand Wagoneer,SUV,Midsize SUV,Gasoline,23.0,31.0,192,4,1.6,3940,48915,Automatic,RWD,USA,5,9.3,1.348
38,2000,Tesla,Cybertruck,Truck,Full-size Truck,Electric,,,743,0,0.0,5823,45313,Automatic,RWD,USA,4,6.4,
39,2001,GMC,Acadia,SUV,Midsize SUV,Gasoline,21.0,26.0,229,6,2.9,4113,36860,Automatic,AWD,USA,5,10.0,1.238
40,2024,Nissan,Rogue,SUV,Midsize SUV,Gasoline,25.0,30.0,246,4,1.5,4129,52820,Automatic,4WD,Japan,4,6.7,1.2
41,2005,Hyundai,Palisade,SUV,Midsize SUV,Gasoline,22.0,27.0,210,6,2.9,3695,40809,Automatic,AWD,South Korea,5,8.0,1.227
42,2003,Kia,Niro,Hatchback,Compact,Gasoline,26.0,33.0,129,4,1.7,3183,23612,Automatic,RWD,South Korea,5,7.6,1.269
43,2013,GMC,Acadia,SUV,Midsize SUV,Gasoline,22.0,27.0,174,4,1.5,4188,46547,Automatic,FWD,USA,4,7.6,1.227
44,2007,Hyundai,Ioniq,Hatchback,Compact,Electric,,,370,0,0.0,2831,23846,Automatic,RWD,South Korea,4,6.6,
45,2008,Audi,Q3,SUV,Subcompact Luxury SUV,Gasoline,24.0,33.0,230,4,1.6,3273,36517,Automatic,RWD,Germany,5,7.6,1.375
46,2000,Dodge,Neon,Sedan,Midsize,Gasoline,28.0,35.0,172,4,1.6,3584,29289,Automatic,AWD,USA,5,6.3,1.25
47,2008,Volkswagen,Arteon,Sedan,Midsize,Gasoline,26.0,32.0,199,4,1.7,3681,34767,Automatic,FWD,Germany,5,7.2,1.231
48,2009,Lexus,RC,Coupe,Compact,Gasoline,31.0,42.0,144,4,1.5,3281,22921,Automatic,FWD,Japan,5,9.7,1.355
49,2003,BMW,4 Series,Coupe,Compact Luxury,Gasoline,22.0,28.0,239,6,3.0,3626,40125,Automatic,RWD,Germany,3,7.2,1.273
50,2009,BMW,X7,SUV,Full-size Luxury SUV,Gasoline,15.0,20.0,449,6,3.0,6030,117733,Automatic,RWD,Germany,4,6.1,1.333
51,2019,Tesla,Model 3,Sedan,Compact Luxury,Electric,,,363,0,0.0,3577,59843,Automatic,RWD,USA,5,8.0,
52,2000,Chevrolet,Malibu,Sedan,Midsize,Gasoline,27.0,34.0,171,4,1.6,3407,30545,Automatic,AWD,USA,4,9.8,1.259
53,2021,Hyundai,Genesis,Sedan,Midsize,Gasoline,25.0,33.0,206,4,1.5,3814,33060,Automatic,AWD,South Korea,5,6.4,1.32
54,2022,Honda,Passport,SUV,Midsize SUV,Gasoline,23.0,30.0,253,6,2.9,4016,57960,Automatic,FWD,Japan,3,8.3,1.304
55,2018,Nissan,Titan,Truck,Midsize Truck,Gasoline,24.0,30.0,268,6,3.0,4825,42090,Automatic,FWD,Japan,4,5.7,1.25
56,2015,Dodge,Challenger,Coupe,Compact,Gasoline,28.0,35.0,148,4,1.7,3184,27721,Automatic,RWD,USA,5,8.8,1.25
57,2014,Mazda,CX-5,SUV,Midsize SUV,Gasoline,22.0,30.0,243,4,1.7,3901,49534,Automatic,RWD,Japan,3,5.4,1.364
58,2024,Dodge,Neon,Sedan,Midsize,Gasoline,28.0,34.0,153,4,1.5,3360,34897,Manual,AWD,USA,5,8.4,1.214
59,2017,Mercedes-Benz,S-Class,Sedan,Full-size Luxury,Gasoline,18.0,25.0,455,8,4.3,4790,114602,Automatic,RWD,Germany,5,7.1,1.389
60,2014,Dodge,Journey,SUV,Midsize SUV,Gasoline,27.0,33.0,236,4,1.7,4351,51359,Automatic,FWD,USA,5,6.6,1.222
61,2018,Kia,Soul,Hatchback,Compact,Electric,,,321,0,0.0,2937,28646,Automatic,AWD,South Korea,4,10.0,
62,2012,Nissan,Titan,Truck,Midsize Truck,Gasoline,19.0,26.0,251,6,2.9,4593,37602,Automatic,4WD,Japan,4,4.9,1.368
63,2016,Ford,Explorer,SUV,Midsize SUV,Gasoline,26.0,33.0,198,4,1.6,3881,51678,Automatic,4WD,USA,3,7.7,1.269
64,2012,Tesla,Roadster,Convertible,Sports Luxury,Electric,,,976,0,0.0,3469,100509,Automatic,RWD,USA,5,5.1,
65,2001,Dodge,Caliber,Hatchback,Compact,Gasoline,30.0,41.0,157,4,1.6,3431,22557,Automatic,AWD,USA,5,8.2,1.367
66,2001,Kia,Sorento,SUV,Midsize SUV,Hybrid,33.0,44.0,215,4,1.6,4286,41830,Automatic,4WD,South Korea,3,9.0,1.333
67,2021,Jeep,Liberty,SUV,Midsize SUV,Gasoline,21.0,26.0,230,4,1.5,3956,57449,Automatic,FWD,USA,5,8.4,1.238
68,2009,Volkswagen,GTI,Hatchback,Compact,Diesel,35.0,48.0,141,4,1.5,2894,28365,Automatic,RWD,Germany,5,10.0,1.371
69,2022,Volvo,XC40,SUV,Midsize SUV,Hybrid,38.0,48.0,236,4,1.6,4499,58281,Automatic,FWD,Sweden,5,7.8,1.263
70,2019,Nissan,Pathfinder,SUV,Midsize SUV,Gasoline,27.0,36.0,224,4,1.5,3811,52438,Automatic,RWD,Japan,3,5.2,1.333
71,2002,Volkswagen,Passat,Sedan,Midsize,Gasoline,25.0,31.0,204,6,2.8,3593,29972,Manual,FWD,Germany,4,8.3,1.24
72,2003,Kia,Optima,Sedan,Midsize,Electric,,,269,0,0.0,3607,34232,Automatic,AWD,South Korea,5,7.3,
73,2011,Jeep,Commander,SUV,Midsize SUV,Gasoline,23.0,30.0,222,6,3.0,3813,46721,Automatic,FWD,USA,3,7.5,1.304
74,2019,Mazda,CX-30,SUV,Midsize SUV,Gasoline,24.0,31.0,214,6,3.0,3932,43634,Automatic,RWD,Japan,3,6.9,1.292
75,2004,Nissan,Maxima,Sedan,Midsize,Gasoline,23.0,31.0,195,4,1.6,3696,32727,Automatic,RWD,Japan,5,8.5,1.348
76,2022,Hyundai,Elantra,Sedan,Midsize,Hybrid,38.0,47.0,182,4,1.4,3549,36875,Manual,AWD,South Korea,4,10.0,1.237
77,2006,Jeep,Renegade,SUV,Midsize SUV,Gasoline,26.0,31.0,211,4,1.7,4167,37078,Automatic,4WD,USA,5,8.3,1.192
78,2018,Mazda,Mazda6,Sedan,Midsize,Gasoline,31.0,42.0,197,4,1.6,3843,34250,Manual,FWD,Japan,5,5.5,1.355
79,2021,Mercedes-Benz,E-Class,Sedan,Midsize Luxury,Gasoline,25.0,33.0,349,8,4.4,3969,68316,Automatic,AWD,Germany,5,4.9,1.32
80,2003,Lexus,RC,Coupe,Compact,Gasoline,28.0,36.0,152,4,1.6,3079,23827,Automatic,FWD,Japan,3,4.6,1.286
81,2013,Dodge,Viper,Coupe,Compact,Gasoline,31.0,39.0,171,4,1.5,3242,24305,Automatic,AWD,USA,5,6.2,1.258
82,2009,Tesla,Cybertruck,Truck,Full-size Truck,Electric,,,792,0,0.0,5338,43367,Automatic,4WD,USA,4,8.1,
83,2010,Nissan,Armada,SUV,Midsize SUV,Gasoline,20.0,25.0,244,4,1.7,4041,47460,Automatic,AWD,Japan,5,8.1,1.25
84,2017,Volkswagen,Passat,Sedan,Midsize,Gasoline,28.0,36.0,176,4,1.7,3432,37937,Automatic,AWD,Germany,3,8.5,1.286
85,2009,Kia,Niro,Hatchback,Compact,Hybrid,44.0,54.0,163,4,1.6,2714,24596,Automatic,FWD,South Korea,5,5.1,1.227
86,2019,Mazda,RX-8,Coupe,Compact,Gasoline,28.0,37.0,137,4,1.7,2842,31343,Manual,RWD,Japan,3,7.7,1.321
87,2021,BMW,X7,SUV,Full-size Luxury SUV,Gasoline,20.0,27.0,444,8,4.5,6006,119054,Automatic,FWD,Germany,4,5.9,1.35
88,2001,Tesla,Model 3,Sedan,Compact Luxury,Electric,,,413,0,0.0,3787,38150,Automatic,RWD,USA,5,9.6,
89,2014,Dodge,Avenger,Sedan,Midsize,Gasoline,26.0,31.0,225,6,3.0,3352,35170,Automatic,FWD,USA,4,7.3,1.192
90,2024,Kia,Telluride,SUV,Midsize SUV,Gasoline,24.0,32.0,229,6,3.0,4198,51373,Automatic,FWD,South Korea,3,6.6,1.333
91,2000,Ford,Bronco,SUV,Midsize SUV,Hybrid,36.0,47.0,201,6,2.9,3818,36740,Automatic,FWD,USA,4,9.1,1.306
92,2013,Volkswagen,Tiguan,SUV,Midsize SUV,Gasoline,22.0,27.0,205,6,3.1,3970,42979,Automatic,AWD,Germany,5,5.7,1.227
93,2016,Honda,Fit,Hatchback,Subcompact,Gasoline,33.0,44.0,112,3,0.8,2854,20329,Automatic,FWD,Japan,5,7.6,1.333
94,2014,Mercedes-Benz,CLA,Sedan,Compact Luxury,Diesel,26.0,35.0,211,6,3.1,3743,47023,Automatic,RWD,Germany,5,5.9,1.346
95,2001,Hyundai,Genesis,Sedan,Midsize,Hybrid,37.0,47.0,184,4,1.7,3853,25663,Manual,FWD,South Korea,5,5.8,1.27
96,2014,Mazda,CX-5,SUV,Midsize SUV,Gasoline,23.0,29.0,215,4,1.4,4117,52013,Manual,AWD,Japan,5,8.3,1.261
97,2007,Mercedes-Benz,C-Class,Sedan,Compact Luxury,Diesel,26.0,33.0,259,6,3.1,3704,46234,Automatic,AWD,Germany,5,7.2,1.269
98,2021,Honda,Fit,Hatchback,Subcompact,Gasoline,31.0,38.0,120,3,0.9,2411,21833,Automatic,AWD,Japan,5,9.2,1.226
99,2019,Jeep,Cherokee,SUV,Midsize SUV,Gasoline,25.0,31.0,222,4,1.4,4194,52434,Automatic,FWD,USA,3,6.2,1.24
100,2006,Subaru,WRX,Sedan,Midsize,Gasoline,31.0,43.0,197,4,1.6,3638,31799,Automatic,AWD,Japan,5,5.8,1.387
101,2004,Subaru,Tribeca,SUV,Midsize SUV,Gasoline,23.0,30.0,232,6,2.8,3794,35974,Automatic,4WD,Japan,5,5.6,1.304
102,2017,GMC,Canyon,Truck,Midsize Truck,Gasoline,19.0,23.0,276,4,1.4,4290,47201,Automatic,FWD,USA,5,10.0,1.211
103,2013,Lexus,LC,Coupe,Compact,Gasoline,30.0,36.0,118,4,1.7,3099,27508,Automatic,AWD,Japan,5,6.9,1.2
104,2016,Hyundai,Ioniq,Hatchback,Compact,Gasoline,32.0,43.0,189,4,1.7,3339,31621,Automatic,RWD,South Korea,5,4.7,1.344
105,2002,Nissan,Armada,SUV,Midsize SUV,Gasoline,22.0,26.0,238,4,1.5,4060,36058,Automatic,RWD,Japan,5,9.0,1.182
106,2000,GMC,Sonoma,Truck,Midsize Truck,Gasoline,22.0,26.0,262,6,3.1,4611,31051,Automatic,RWD,USA,5,8.3,1.182
